-0.085 0.051 -1093.58
-0.084 0.051 -1139.41
-0.083 0.051 -1188.17
-0.082 0.051 -1240.15
-0.081 0.051 -1295.7
-0.08 0.051 -1355.19
-0.079 0.051 -1419.06
-0.078 0.051 -1487.74
-0.077 0.051 -1561.71
-0.076 0.051 -1641.44
-0.075 0.051 -1727.47
-0.074 0.051 -1820.36
-0.073 0.051 -1920.66
-0.072 0.051 -2028.91
-0.071 0.051 -2145.69
-0.07 0.051 -2271.64
-0.069 0.051 -2407.42
-0.068 0.051 -2553.72
-0.067 0.051 -2711.24
-0.066 0.051 -2880.7
-0.065 0.051 -3062.88
-0.064 0.051 -3258.67
-0.063 0.051 -3468.99
-0.062 0.051 -3694.8
-0.061 0.051 -3937.04
-0.06 0.051 -4196.7
-0.059 0.051 -4474.75
-0.058 0.051 -4772.23
-0.057 0.051 -5090.23
-0.056 0.051 -5429.73
-0.055 0.051 -5791.64
-0.054 0.051 -6176.88
-0.053 0.051 -6586.47
-0.052 0.051 -7021.49
-0.051 0.051 -7483.09
-0.05 0.051 -7972.4
-0.049 0.051 -8490.45
-0.048 0.051 -9038.81
-0.047 0.051 -9619.08
-0.046 0.051 -10233.1
-0.045 0.051 -10882.4
-0.044 0.051 -11568.8
-0.043 0.051 -12294.2
-0.042 0.051 -13060.8
-0.041 0.051 -13871
-0.04 0.051 -14726.7
-0.039 0.051 -15629.2
-0.038 0.051 -16580.3
-0.037 0.051 -17582.7
-0.036 0.051 -18638.6
-0.035 0.051 -19749.8
-0.034 0.051 -20918.4
-0.033 0.051 -22147.2
-0.032 0.051 -23441
-0.031 0.051 -24804.8
-0.03 0.051 -26244.3
-0.029 0.051 -27766.4
-0.028 0.051 -29378.5
-0.027 0.051 -31090
-0.026 0.051 -32913.4
-0.025 0.051 -34862.3
-0.024 0.051 -36944.8
-0.023 0.051 -39167.7
-0.022 0.051 -41542.2
-0.021 0.051 -44084.6
-0.02 0.051 -46803.2
-0.019 0.051 -49691.7
-0.018 0.051 -52746.7
-0.017 0.051 -55979.5
-0.016 0.051 -59404.6
-0.015 0.051 -63052.5
-0.014 0.051 -66965.9
-0.013 0.051 -71217.2
-0.012 0.051 -75969.2
-0.011 0.051 -81615.3
-0.01 0.051 -88988.1
-0.009 0.051 -99465.5
-0.008 0.051 -115233
-0.007 0.051 -140997
-0.006 0.051 -189268
-0.005 0.051 -291276
-0.004 0.051 -131289
-0.003 0.051 -288106
-0.002 0.051 -3.57857e+06
-0.001 0.051 -2.56921e+07
7.63278e-17 0.051 -7.97145e+08
0.001 0.051 -2.56921e+07
0.002 0.051 -3.57857e+06
0.003 0.051 -288106
0.004 0.051 -131289
0.005 0.051 -291276
0.006 0.051 -189268
0.007 0.051 -140997
0.008 0.051 -115233
0.009 0.051 -99465.5
0.01 0.051 -88988.1
0.011 0.051 -81615.3
0.012 0.051 -75969.2
0.013 0.051 -71217.2
0.014 0.051 -66965.9
0.015 0.051 -63052.5
0.016 0.051 -59404.6
0.017 0.051 -55979.5
0.018 0.051 -52746.7
0.019 0.051 -49691.7
0.02 0.051 -46803.2
0.021 0.051 -44084.6
0.022 0.051 -41542.2
0.023 0.051 -39167.7
0.024 0.051 -36944.8
0.025 0.051 -34862.3
0.026 0.051 -32913.4
0.027 0.051 -31090
0.028 0.051 -29378.5
0.029 0.051 -27766.4
0.03 0.051 -26244.3
0.031 0.051 -24804.8
0.032 0.051 -23441
0.033 0.051 -22147.2
0.034 0.051 -20918.4
0.035 0.051 -19749.8
0.036 0.051 -18638.6
0.037 0.051 -17582.7
0.038 0.051 -16580.3
0.039 0.051 -15629.2
0.04 0.051 -14726.7
0.041 0.051 -13871
0.042 0.051 -13060.8
0.043 0.051 -12294.2
0.044 0.051 -11568.8
0.045 0.051 -10882.4
0.046 0.051 -10233.1
0.047 0.051 -9619.08
0.048 0.051 -9038.81
0.049 0.051 -8490.45
0.05 0.051 -7972.4
0.051 0.051 -7483.09
0.052 0.051 -7021.49
0.053 0.051 -6586.47
